"LC-MS/MS(ITA), created by Plot Digitizer, 2.6.8"
"Date: 14.01.17, 12:04:22"


22
ITA,LC-MS/MS
32.2629,29.2355,
29.9382,27.2113,
21.3410,21.0605,
20.5638,21.5823,
19.8597,20.7582,
17.5324,20.0801,
16.6186,18.2085,
18.8057,18.4375,
17.7515,16.1917,
17.5379,17.1635,
16.2706,15.6650,
15.4235,15.8128,
14.3632,16.7828,
13.8763,13.1172,
13.8091,11.3222,
8.09924,8.24376,
6.69108,6.59546,
6.19628,7.04312,
1.76140,1.42470,
9.29485,10.3403,
12.7455,14.0122,
10.8441,11.9889,
