"LC-MS/MS(ITA), created by Plot Digitizer, 2.6.8"
"Date: 14.01.17, 12:05:25"


20
ITA,LC-MS/MS
1.48028,0.825809,
2.53562,2.47336,
6.19827,5.99612,
9.08600,8.84416,
9.92950,10.5660,
11.1971,11.9149,
12.1120,13.1882,
10.4900,12.6612,
10.2099,11.5389,
12.9602,12.4422,
13.2403,13.5646,
13.9441,14.5383,
15.4961,14.7660,
14.7176,15.9609,
14.1531,15.9597,
16.3389,16.8618,
15.4208,17.2337,
17.9589,18.4357,
18.5225,18.8856,
20.0021,20.0854,
