"LC-MS/MS(ITA), created by Plot Digitizer, 2.6.8"
"Date: 14.01.17, 12:11:28"


19
ITA,LC-MS/MS
32.4661,29.8239,
30.0905,30.1526,
21.3801,21.5258,
20.7466,21.9366,
19.9548,20.1291,
17.5792,19.2254,
18.2919,18.7324,
17.8959,17.3357,
17.2624,17.9108,
16.4706,17.2535,
15.3620,17.5000,
15.1244,16.1854,
17.5000,16.5141,
11.1652,11.3380,
9.26471,8.54460,
7.91855,8.21596,
6.96833,7.31221,
1.90045,2.71127,
1.97964,2.38263,
