"LC-MS/MS(ITA), created by Plot Digitizer, 2.6.8"
"Date: 14.01.17, 12:12:33"


23
ITA,LC-MS/MS
1.26697,2.21831,
2.45475,3.86150,
6.17647,6.90141,
9.10633,9.53052,
12.2738,11.6667,
11.1652,11.2559,
11.2443,12.4883,
11.9570,12.6526,
13.2240,12.8169,
13.8575,13.5563,
14.2534,14.2136,
15.5204,15.4460,
15.5204,14.7887,
16.2330,16.0211,
14.8077,15.3638,
13.2240,15.2817,
12.1154,12.8169,
16.2330,16.1854,
18.4502,17.9930,
17.8959,17.9930,
20.0339,20.6221,
12.1946,10.9272,
10.4525,11.2559,
