"LC-MS/MS(ITA), created by Plot Digitizer, 2.6.8"
"Date: 14.01.17, 12:16:25"


19
ITA,LC-MS/MS
2.92316,2.87737,
6.28210,6.01096,
5.65851,6.07315,
6.47116,5.18236,
7.65134,6.97109,
6.71571,7.16003,
7.46213,7.86347,
7.27447,8.11810,
8.45994,7.73847,
8.52368,7.16465,
10.1414,8.50807,
9.70215,9.65491,
10.0753,10.0385,
10.3862,10.3582,
11.0731,9.91351,
11.6908,12.2748,
14.3066,13.3657,
20.2749,20.2049,
15.8552,17.4513,
